year,month,day,hour,DE_wind_generation_actual,DE_wind_capacity,DE_wind_speed,DE_temperature,DE_air_density,lag_1,lag_2,lag_3
2020.0,1.0,1.0,3.0,7699.0,50452.0,1.81,-0.493,1.274,7448.0,7371.0,6990.0
2020.0,1.0,1.0,4.0,7703.0,50452.0,1.804,-0.672,1.274,7699.0,7448.0,7371.0
2020.0,1.0,1.0,5.0,7419.0,50452.0,1.806,-0.881,1.275,7703.0,7699.0,7448.0
2020.0,1.0,1.0,6.0,7325.0,50452.0,1.837,-1.107,1.276,7419.0,7703.0,7699.0
2020.0,1.0,1.0,7.0,7257.0,50452.0,1.913,-1.212,1.277,7325.0,7419.0,7703.0
2020.0,1.0,1.0,8.0,7305.0,50452.0,2.284,-0.321,1.276,7257.0,7325.0,7419.0
2020.0,1.0,1.0,9.0,7261.0,50452.0,2.585,0.773,1.274,7305.0,7257.0,7325.0
2020.0,1.0,1.0,10.0,7170.0,50452.0,2.604,1.833,1.27,7261.0,7305.0,7257.0
2020.0,1.0,1.0,11.0,7246.0,50452.0,2.572,2.677,1.265,7170.0,7261.0,7305.0
2020.0,1.0,1.0,12.0,7770.0,50452.0,2.472,3.084,1.262,7246.0,7170.0,7261.0
2020.0,1.0,1.0,13.0,7332.0,50452.0,1.935,2.76,1.26,7770.0,7246.0,7170.0
2020.0,1.0,1.0,14.0,7173.0,50452.0,1.41,0.886,1.261,7332.0,7770.0,7246.0
2020.0,1.0,1.0,15.0,8339.0,50452.0,1.567,-0.874,1.262,7173.0,7332.0,7770.0
2020.0,1.0,1.0,16.0,10374.0,50452.0,1.741,-1.279,1.264,8339.0,7173.0,7332.0
2020.0,1.0,1.0,17.0,12280.0,50452.0,1.913,-1.449,1.267,10374.0,8339.0,7173.0
2020.0,1.0,1.0,18.0,13433.0,50452.0,2.085,-1.566,1.269,12280.0,10374.0,8339.0
2020.0,1.0,1.0,19.0,13881.0,50452.0,2.198,-1.656,1.271,13433.0,12280.0,10374.0
2020.0,1.0,1.0,20.0,14007.0,50452.0,2.243,-1.779,1.272,13881.0,13433.0,12280.0
2020.0,1.0,1.0,21.0,12695.0,50452.0,2.243,-1.927,1.274,14007.0,13881.0,13433.0
2020.0,1.0,1.0,22.0,12244.0,50452.0,2.203,-2.11,1.275,12695.0,14007.0,13881.0
2020.0,1.0,1.0,23.0,12205.0,50452.0,2.115,-2.31,1.276,12244.0,12695.0,14007.0
2020.0,1.0,2.0,0.0,11804.0,50452.0,2.04,-2.495,1.277,12205.0,12244.0,12695.0
2020.0,1.0,2.0,1.0,11759.0,50452.0,2.056,-2.635,1.278,11804.0,12205.0,12244.0
2020.0,1.0,2.0,2.0,11417.0,50452.0,2.11,-2.759,1.278,11759.0,11804.0,12205.0
2020.0,1.0,2.0,3.0,11545.0,50452.0,2.201,-2.854,1.279,11417.0,11759.0,11804.0
2020.0,1.0,2.0,4.0,12064.0,50452.0,2.272,-2.93,1.279,11545.0,11417.0,11759.0
2020.0,1.0,2.0,5.0,13275.0,50452.0,2.343,-3.003,1.279,12064.0,11545.0,11417.0
2020.0,1.0,2.0,6.0,14177.0,50452.0,2.422,-3.052,1.28,13275.0,12064.0,11545.0
2020.0,1.0,2.0,7.0,14316.0,50452.0,2.498,-2.965,1.28,14177.0,13275.0,12064.0
2020.0,1.0,2.0,8.0,14811.0,50452.0,2.885,-1.932,1.279,14316.0,14177.0,13275.0
2020.0,1.0,2.0,9.0,14729.0,50452.0,3.107,-0.771,1.276,14811.0,14316.0,14177.0
2020.0,1.0,2.0,10.0,14167.0,50452.0,3.179,0.419,1.27,14729.0,14811.0,14316.0
2020.0,1.0,2.0,11.0,13409.0,50452.0,3.196,1.369,1.265,14167.0,14729.0,14811.0
2020.0,1.0,2.0,12.0,13451.0,50452.0,3.067,1.846,1.26,13409.0,14167.0,14729.0
2020.0,1.0,2.0,13.0,14317.0,50452.0,2.628,1.523,1.259,13451.0,13409.0,14167.0
2020.0,1.0,2.0,14.0,15681.0,50452.0,2.207,0.28,1.259,14317.0,13451.0,13409.0
2020.0,1.0,2.0,15.0,17256.0,50452.0,2.265,-0.705,1.26,15681.0,14317.0,13451.0
2020.0,1.0,2.0,16.0,19502.0,50452.0,2.577,-0.747,1.262,17256.0,15681.0,14317.0
2020.0,1.0,2.0,17.0,21580.0,50452.0,2.782,-0.725,1.263,19502.0,17256.0,15681.0
2020.0,1.0,2.0,18.0,22909.0,50452.0,2.962,-0.682,1.263,21580.0,19502.0,17256.0
2020.0,1.0,2.0,19.0,23673.0,50452.0,3.087,-0.612,1.263,22909.0,21580.0,19502.0
2020.0,1.0,2.0,20.0,24353.0,50452.0,3.223,-0.506,1.263,23673.0,22909.0,21580.0
2020.0,1.0,2.0,21.0,24307.0,50452.0,3.337,-0.345,1.262,24353.0,23673.0,22909.0
2020.0,1.0,2.0,22.0,24562.0,50452.0,3.434,-0.148,1.261,24307.0,24353.0,23673.0
2020.0,1.0,2.0,23.0,25711.0,50452.0,3.493,0.009,1.259,24562.0,24307.0,24353.0
2020.0,1.0,3.0,0.0,27081.0,50452.0,3.586,0.184,1.258,25711.0,24562.0,24307.0
2020.0,1.0,3.0,1.0,27810.0,50452.0,3.691,0.371,1.256,27081.0,25711.0,24562.0
2020.0,1.0,3.0,2.0,28716.0,50452.0,3.757,0.53,1.255,27810.0,27081.0,25711.0
2020.0,1.0,3.0,3.0,29828.0,50452.0,3.843,0.718,1.253,28716.0,27810.0,27081.0
2020.0,1.0,3.0,4.0,30812.0,50452.0,3.954,0.934,1.251,29828.0,28716.0,27810.0
2020.0,1.0,3.0,5.0,32454.0,50452.0,4.061,1.16,1.25,30812.0,29828.0,28716.0
2020.0,1.0,3.0,6.0,33213.0,50452.0,4.137,1.399,1.248,32454.0,30812.0,29828.0
2020.0,1.0,3.0,7.0,33355.0,50452.0,4.182,1.689,1.247,33213.0,32454.0,30812.0
2020.0,1.0,3.0,8.0,32772.0,50452.0,4.324,2.388,1.245,33355.0,33213.0,32454.0
2020.0,1.0,3.0,9.0,32907.0,50452.0,4.419,3.181,1.242,32772.0,33355.0,33213.0
2020.0,1.0,3.0,10.0,32961.0,50452.0,4.484,3.839,1.239,32907.0,32772.0,33355.0
2020.0,1.0,3.0,11.0,31586.0,50452.0,4.521,4.292,1.236,32961.0,32907.0,32772.0
2020.0,1.0,3.0,12.0,31950.0,50452.0,4.565,4.524,1.233,31586.0,32961.0,32907.0
2020.0,1.0,3.0,13.0,32446.0,50452.0,4.5,4.506,1.232,31950.0,31586.0,32961.0
2020.0,1.0,3.0,14.0,32488.0,50452.0,4.464,4.311,1.232,32446.0,31950.0,31586.0
2020.0,1.0,3.0,15.0,33825.0,50452.0,4.637,4.186,1.232,32488.0,32446.0,31950.0
2020.0,1.0,3.0,16.0,34639.0,50452.0,4.784,4.206,1.232,33825.0,32488.0,32446.0
2020.0,1.0,3.0,17.0,35896.0,50452.0,4.819,4.198,1.233,34639.0,33825.0,32488.0
2020.0,1.0,3.0,18.0,35539.0,50452.0,4.684,4.093,1.235,35896.0,34639.0,33825.0
2020.0,1.0,3.0,19.0,34598.0,50452.0,4.487,3.889,1.236,35539.0,35896.0,34639.0
2020.0,1.0,3.0,20.0,33598.0,50452.0,4.415,3.706,1.238,34598.0,35539.0,35896.0
2020.0,1.0,3.0,21.0,32940.0,50452.0,4.348,3.477,1.24,33598.0,34598.0,35539.0
2020.0,1.0,3.0,22.0,32400.0,50452.0,4.222,3.138,1.243,32940.0,33598.0,34598.0
2020.0,1.0,3.0,23.0,31700.0,50452.0,4.044,2.767,1.245,32400.0,32940.0,33598.0
