year,month,day,hour,DE_wind_generation_actual,DE_wind_capacity,DE_wind_speed,DE_temperature,DE_air_density
2015,1,1,0,8852.0,27913.0,2.307,-0.895,1.275
2015,1,1,1,9054.0,27913.0,2.347,-0.971,1.276
2015,1,1,2,9070.0,27913.0,2.394,-1.041,1.276
2015,1,1,3,9163.0,27913.0,2.396,-1.097,1.277
2015,1,1,4,9231.0,27913.0,2.42,-1.153,1.277
2015,1,1,5,9689.0,27913.0,2.405,-1.234,1.277
2015,1,1,6,10331.0,27913.0,2.425,-1.397,1.278
2015,1,1,7,10208.0,27913.0,2.515,-1.564,1.279
2015,1,1,8,10029.0,27913.0,2.907,-0.914,1.279
2015,1,1,9,10550.0,27913.0,3.248,0.099,1.277
2015,1,1,10,11390.0,27913.0,3.137,0.872,1.274
2015,1,1,11,12103.0,27913.0,3.055,1.46,1.269
2015,1,1,12,12505.0,27913.0,3.058,1.749,1.266
2015,1,1,13,11921.0,27913.0,2.977,1.632,1.265
2015,1,1,14,11851.0,27913.0,2.815,1.006,1.265
2015,1,1,15,13582.0,27913.0,2.951,0.165,1.267
2015,1,1,16,15436.0,27913.0,3.296,-0.164,1.268
2015,1,1,17,16868.0,27913.0,3.583,-0.31,1.269
2015,1,1,18,18008.0,27913.0,3.83,-0.405,1.27
2015,1,1,19,19181.0,27913.0,4.082,-0.458,1.27
2015,1,1,20,20353.0,27913.0,4.335,-0.505,1.27
2015,1,1,21,21235.0,27913.0,4.527,-0.531,1.269
2015,1,1,22,22083.0,27913.0,4.784,-0.517,1.268
2015,1,1,23,22472.0,27926.0,5.015,-0.524,1.268
2015,1,2,0,23434.0,27926.0,5.213,-0.517,1.266
2015,1,2,1,24248.0,27926.0,5.431,-0.46,1.265
2015,1,2,2,25034.0,27926.0,5.652,-0.358,1.263
2015,1,2,3,25721.0,27926.0,5.876,-0.248,1.262
2015,1,2,4,26172.0,27926.0,6.088,-0.128,1.26
